




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
HARBINS A                     4688                          1226                          119                           901                           492                           5                             2743                          2743                          
DACULA                        3648                          831                           67                            902                           178                           1                             1979                          1979                          
BAYCREEK A                    2272                          721                           89                            143                           438                           0                             1391                          1391                          
CATES A                       1948                          484                           124                           304                           280                           0                             1192                          1192                          
GARNERS A                     2910                          780                           137                           829                           130                           3                             1879                          1879                          
LAWRENCEVILLE A               2889                          594                           143                           24                            563                           2                             1326                          1326                          
LAWRENCEVILLE B               3653                          723                           103                           83                            885                           2                             1796                          1796                          
HOG MOUNTAIN B                3661                          1190                          123                           730                           317                           0                             2360                          2360                          
ROCKYCREEK A                  4311                          205                           39                            299                           47                            0                             590                           590                           
CATES B                       1417                          491                           90                            198                           158                           1                             938                           938                           
HOG MOUNTAIN D                2475                          810                           80                            366                           261                           3                             1520                          1520                          
BERKSHIRE D                   2310                          692                           127                           521                           123                           5                             1468                          1468                          
BERKSHIRE E                   1674                          499                           72                            439                           59                            2                             1071                          1071                          
CATES D                       2140                          670                           88                            376                           142                           3                             1279                          1279                          
035 Cates D - 04              495                           160                           20                            73                            29                            2                             284                           284                           
CATES E                       2402                          714                           112                           523                           143                           1                             1493                          1493                          
LAWRENCEVILLE C               2359                          738                           88                            316                           307                           0                             1449                          1449                          
CATES F                       1566                          556                           80                            244                           131                           2                             1013                          1013                          
CATES G                       2392                          784                           117                           389                           337                           0                             1627                          1627                          
LAWRENCEVILLE E               1890                          556                           81                            23                            478                           3                             1141                          1141                          
CATES I                       2938                          912                           118                           352                           351                           2                             1735                          1735                          
CATES J                       2744                          787                           116                           475                           118                           3                             1499                          1499                          
BAYCREEK K                    2867                          745                           84                            91                            757                           2                             1679                          1679                          
CATES K                       2116                          807                           78                            173                           278                           2                             1338                          1338                          
BAYCREEK C                    4733                          1116                          141                           159                           1085                          4                             2505                          2505                          
CATES L                       3238                          304                           42                            126                           221                           1                             694                           694                           
LAWRENCEVILLE H               3275                          378                           54                            145                           194                           0                             771                           771                           
BAYCREEK D                    3625                          1048                          121                           108                           869                           1                             2147                          2147                          
BERKSHIRE J                   2378                          681                           125                           591                           119                           0                             1516                          1516                          
CATES M                       3457                          1097                          164                           219                           759                           2                             2241                          2241                          
CATES N                       2158                          701                           123                           142                           505                           1                             1472                          1472                          
CATES O                       1160                          365                           36                            156                           100                           2                             659                           659                           
BERKSHIRE M                   1403                          450                           61                            292                           73                            2                             878                           878                           
BERKSHIRE N                   2585                          540                           116                           873                           90                            5                             1624                          1624                          
BERKSHIRE O                   2144                          667                           91                            391                           174                           4                             1327                          1327                          
HARBINS B                     3427                          769                           94                            1103                          166                           4                             2136                          2136                          
LAWRENCEVILLE L               3859                          987                           147                           101                           821                           3                             2059                          2059                          
BAYCREEK H                    4368                          1405                          140                           228                           962                           5                             2740                          2740                          
BAYCREEK I                    4195                          1013                          96                            71                            991                           3                             2174                          2174                          
BERKSHIRE Q                   1392                          401                           36                            242                           36                            1                             716                           716                           
HARBINS C                     1951                          806                           53                            266                           189                           1                             1315                          1315                          
ROCKYCREEK C                  3895                          1057                          117                           979                           237                           0                             2390                          2390                          
LAWRENCEVILLE N               1798                          498                           40                            22                            379                           1                             940                           940                           
Totals:                       116806                        30958                         4092                          14988                         14972                         84                            65094                         65094                         

                                                                                                                                                                                        State Senator, District 40
                                                            FRAN MILLAR (I)                                                                                                                                                                     TAMARA JOHNSON-SHEALEY                                                                                                                                                              
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Total                         
PINCKNEYVILLE C               1568                          499                           86                            29                            113                           2                             729                           279                           44                            16                            180                           1                             520                           1249                          
PINCKNEYVILLE E               1563                          151                           12                            6                             67                            0                             236                           481                           14                            21                            231                           3                             750                           986                           
PINCKNEYVILLE N               2723                          257                           19                            15                            89                            0                             380                           841                           31                            47                            458                           4                             1381                          1761                          
PINCKNEYVILLE L               2140                          847                           150                           53                            263                           3                             1316                          238                           57                            20                            110                           0                             425                           1741                          
PINCKNEYVILLE P               1701                          471                           77                            19                            154                           0                             721                           362                           34                            15                            165                           6                             582                           1303                          
PINCKNEYVILLE U               1659                          399                           53                            16                            110                           1                             579                           387                           11                            17                            222                           6                             643                           1222                          
PINCKNEYVILLE Z               1629                          759                           101                           45                            160                           1                             1066                          196                           44                            14                            74                            0                             328                           1394                          
PINCKNEYVILLE A1              2434                          891                           158                           50                            299                           4                             1402                          295                           57                            31                            171                           0                             554                           1956                          
Totals:                       15417                         4274                          656                           233                           1255                          11                            6429                          3079                          292                           181                           1611                          20                            5183                          11612                         

                                                                                              State Senator, District 41
                                                            STEVE HENSON (I)                                                                                                                                                                    
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Total                         
BERKSHIRE A                   1760                          544                           47                            144                           265                           2                             1002                          1002                          
BERKSHIRE B                   4080                          815                           110                           110                           1299                          1                             2335                          2335                          
MARTINS C                     1934                          662                           44                            111                           275                           1                             1093                          1093                          
BERKSHIRE F                   1573                          474                           48                            89                            195                           1                             807                           807                           
PINCKNEYVILLE K               2674                          367                           30                            36                            180                           4                             617                           617                           
BERKSHIRE H                   1274                          355                           40                            43                            268                           4                             710                           710                           
BERKSHIRE L                   2322                          724                           67                            118                           419                           0                             1328                          1328                          
BERKSHIRE P                   1027                          303                           20                            70                            137                           3                             533                           533                           
MARTINS K                     3808                          1215                          76                            174                           846                           4                             2315                          2315                          
BERKSHIRE Q                   1392                          59                            6                             23                            23                            0                             111                           111                           
Totals:                       21844                         5518                          488                           918                           3907                          20                            10851                         10851                         

                                                                                              State Senator, District 45
                                                            RENEE UNTERMAN (I) (REP)                                                                                                                                                            
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Total                         
SUWANEE A                     1291                          327                           41                            338                           17                            3                             726                           726                           
GOODWINS A                    3049                          868                           84                            245                           358                           2                             1557                          1557                          
DUNCANS A                     3752                          1094                          157                           1125                          173                           1                             2550                          2550                          
PUCKETTS A                    3975                          954                           148                           1445                          51                            18                            2616                          2616                          
DUNCANS C                     2518                          878                           112                           727                           82                            1                             1800                          1800                          
SUGAR HILL A                  2940                          939                           83                            614                           34                            14                            1684                          1684                          
SUGAR HILL B                  3787                          1254                          116                           787                           57                            20                            2234                          2234                          
HOG MOUNTAIN A                3646                          1019                          78                            553                           217                           3                             1870                          1870                          
ROCKYCREEK A                  4311                          975                           70                            805                           126                           0                             1976                          1976                          
DUNCANS D                     4888                          1540                          212                           1360                          129                           4                             3245                          3245                          
SUGAR HILL C                  3804                          1516                          114                           782                           73                            12                            2497                          2497                          
SUGAR HILL D                  3095                          971                           86                            763                           44                            9                             1873                          1873                          
PUCKETTS E                    3919                          946                           113                           966                           87                            11                            2123                          2123                          
GOODWINS B                    3218                          933                           140                           557                           307                           2                             1939                          1939                          
GOODWINS D                    3337                          1014                          100                           313                           351                           4                             1782                          1782                          
LAWRENCEVILLE H               3275                          648                           77                            155                           367                           0                             1247                          1247                          
SUGAR HILL E                  2379                          772                           81                            634                           36                            13                            1536                          1536                          
GOODWINS F                    2460                          723                           82                            406                           107                           3                             1321                          1321                          
SUWANEE B                     3305                          693                           101                           1182                          45                            0                             2021                          2021                          
PUCKETTS B                    2377                          708                           100                           734                           43                            4                             1589                          1589                          
SUGAR HILL F                  3124                          1077                          90                            718                           55                            11                            1951                          1951                          
GOODWINS G                    1962                          548                           36                            70                            241                           1                             896                           896                           
DUNCANS B                     3786                          1290                          127                           990                           118                           3                             2528                          2528                          
SUWANEE D                     3652                          1223                          161                           1017                          57                            11                            2469                          2469                          
SUWANEE E                     3354                          988                           123                           1001                          42                            7                             2161                          2161                          
LAWRENCEVILLE K               2566                          841                           65                            308                           309                           3                             1526                          1526                          
PUCKETTS C                    2420                          760                           84                            631                           47                            10                            1532                          1532                          
HOG MOUNTAIN C                3176                          996                           86                            625                           197                           5                             1909                          1909                          
ROCKYCREEK B                  3900                          1149                          130                           989                           198                           1                             2467                          2467                          
SUWANEE H                     3082                          864                           175                           1019                          59                            17                            2134                          2134                          
SUGAR HILL G                  2307                          836                           78                            546                           41                            2                             1503                          1503                          
SUWANEE F                     3059                          933                           89                            686                           52                            3                             1763                          1763                          
GOODWINS I                    2139                          761                           100                           188                           259                           0                             1308                          1308                          
PUCKETTS D                    2595                          785                           90                            764                           84                            3                             1726                          1726                          
Totals:                       106448                        31823                         3529                          24043                         4463                          201                           64059                         64059                         

                                                                                              State Senator, District 48
                                                            DAVID SHAFER (I)                                                                                                                                                                    
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Total                         
DULUTH A                      3711                          1113                          156                           488                           433                           7                             2197                          2197                          
PINCKNEYVILLE H               3376                          1011                          161                           112                           620                           4                             1908                          1908                          
DULUTH B                      2666                          788                           114                           147                           438                           1                             1488                          1488                          
DULUTH C                      1914                          565                           85                            102                           289                           2                             1043                          1043                          
DULUTH D                      3331                          804                           103                           127                           556                           5                             1595                          1595                          
PINCKNEYVILLE M               2297                          1009                          148                           68                            349                           0                             1574                          1574                          
GOODWINS C                    3948                          1010                          144                           253                           530                           5                             1942                          1942                          
DULUTH E                      3671                          894                           103                           120                           531                           2                             1650                          1650                          
LAWRENCEVILLE I               2630                          715                           76                            120                           379                           3                             1293                          1293                          
DULUTH F                      3826                          752                           78                            168                           471                           4                             1473                          1473                          
DULUTH G                      2352                          821                           94                            341                           182                           2                             1440                          1440                          
GOODWINS E                    4183                          1185                          128                           621                           350                           2                             2286                          2286                          
PINCKNEYVILLE T               2294                          700                           77                            58                            315                           0                             1150                          1150                          
SUWANEE C                     3878                          979                           152                           973                           125                           3                             2232                          2232                          
DULUTH H                      2142                          587                           137                           173                           319                           1                             1217                          1217                          
PINCKNEYVILLE X               2732                          904                           148                           91                            473                           4                             1620                          1620                          
GOODWINS H                    2172                          746                           84                            341                           112                           1                             1284                          1284                          
DULUTH I                      3671                          1121                          204                           552                           337                           8                             2222                          2222                          
DULUTH K                      1965                          357                           32                            22                            254                           4                             669                           669                           
SUWANEE G                     2840                          958                           83                            563                           88                            2                             1694                          1694                          
Totals:                       59599                         17019                         2307                          5440                          7151                          60                            31977                         31977                         

                                                                                                                                                                                        State Senator, District 55
                                                            ANNETTE  DAVIS JACKSON                                                                                                                                                              GLORIA BUTLER (I)                                                                                                                                                                   
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Total                         
ROCKBRIDGE A                  3006                          263                           49                            241                           35                            0                             588                           723                           48                            768                           120                           8                             1667                          2255                          
CATES C                       2181                          303                           42                            255                           74                            1                             675                           396                           34                            410                           109                           3                             952                           1627                          
BAYCREEK B                    4331                          615                           70                            338                           171                           4                             1198                          867                           67                            705                           388                           8                             2035                          3233                          
ROCKBRIDGE B                  3144                          306                           60                            243                           58                            0                             667                           706                           40                            650                           161                           7                             1564                          2231                          
GARNERS B                     2529                          287                           85                            312                           64                            0                             748                           433                           53                            583                           110                           3                             1182                          1930                          
GARNERS C                     1603                          318                           37                            219                           23                            1                             598                           265                           31                            252                           32                            0                             580                           1178                          
BERKSHIRE G                   1960                          336                           67                            405                           39                            0                             847                           261                           33                            324                           46                            1                             665                           1512                          
CATES H                       2780                          287                           66                            292                           56                            0                             701                           565                           41                            538                           132                           6                             1282                          1983                          
GARNERS D                     2543                          213                           60                            242                           40                            0                             555                           581                           47                            583                           84                            2                             1297                          1852                          
ROCKBRIDGE C                  3928                          316                           53                            302                           45                            0                             716                           823                           65                            1119                          236                           6                             2249                          2965                          
ROCKBRIDGE D                  2874                          245                           46                            337                           42                            2                             672                           590                           50                            774                           121                           7                             1542                          2214                          
CATES L                       3238                          333                           50                            214                           69                            1                             667                           348                           27                            296                           111                           4                             786                           1453                          
ROCKBRIDGE E                  3387                          337                           40                            203                           36                            3                             619                           800                           45                            705                           152                           4                             1706                          2325                          
ROCKBRIDGE F                  4385                          222                           56                            467                           34                            2                             781                           696                           76                            1565                          200                           11                            2548                          3329                          
BAYCREEK E                    2418                          472                           70                            184                           183                           1                             910                           378                           24                            232                           213                           1                             848                           1758                          
